0	1
ham	how much u trying to get
ham	: but your not here
spam	mila age23 blonde new in uk i look sex with uk guys if u like fun with me text mtalk to 6986618  30pp/txt 1st 5free £150 increments help08718728876
ham	i wanted to wish you a happy new year and i wanted to talk to you about some legal advice to do with when gary and i split but in person ill make a trip to ptbo for that i hope everything is good with you babe and i love ya :
ham	right it wasnt you who phoned it was someone with a number like yours
ham	we live in the next  ltgt mins
ham	they finally came to fix the ceiling
ham	ok no prob
ham	ok set let u noe e details later
ham	wewa is 130 iriver 255 all 128 mb
spam	urgent your mobile no 07808726822 was awarded a £2000 bonus caller prize on 02/09/03 this is our 2nd attempt to contact you call 08718729758 box95qu
ham	don no da:whats you plan
ham	anytime
ham	yar but they say got some error
ham	oh k:after that placement there ah
ham	we have pizza if u want
ham	many more happy returns of the day i wish you happy birthday
ham	if you text on your way to cup stop that should work and that should be bus
ham	o we cant see if we can join denis and mina or does denis want alone time
ham	call me i am senthil from hsbc
ham	thanx yup we coming back on sun finish dinner going back 2 hotel now time flies were tog 4 exactly a mth today hope well haf many more mths to come
ham	dont worry though i understand how important it is that i be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me brb gonna go kill myself
ham	i can call in  ltgt  min if thats ok
ham	lol no just trying to make your day a little more interesting
ham	yay cant wait to party together
ham	hmmm mayb can try e shoppin area one but forgot e name of hotel
ham	i liked your new house
spam	free messagethanks for using the auction subscription service 18  150p/msgrcvd 2 skip an auction txt out 2 unsubscribe txt stop customercare 08718726270
ham	2 and half years i missed your friendship:
ham	im reaching in another 2 stops
ham	will do have a good day
ham	love that holiday monday feeling even if i have to go to the dentists in an hour
ham	we took hooch for a walk toaday and i fell over splat grazed my knees and everything should have stayed at home see you tomorrow 
ham	just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something
ham	match startedindia  ltgt  for 2
ham	check maili have mailed varma and kept copy to you regarding membershiptake careinsha allah
ham	wrong phone this phone i answer this one but assume the other is people i dont well
ham	doing my masters when will you buy a bb cos i have for sale and hows bf
ham	i want  ltgt  rs da:do you have it
ham	im fine hope you are good do take care
ham	which channel::::
ham	: sad puppy noise
ham	is there coming friday is leave for pongaldo you get any news from your work place
ham	i want to go to perumbavoor
ham	o ic lol should play 9 doors sometime yo
ham	i will vote for wherever my heart guides me
ham	hi shanilrakhesh herethanksi have exchanged the uncut diamond stuffleaving back excellent service by dino and prem
spam	you have 1 new message please call 08715205273
ham	to the wonderful okors have a great month we cherish you guys and wish you well each day mojibiola
ham	cuz ibored and don wanna study
spam	get your garden ready for summer with a free selection of summer bulbs and seeds worth £33:50 only with the scotsman this saturday to stop go2 notxtcouk
ham	lol no i just need to cash in my nitros hurry come on before i crash out
ham	very strange  and  are watching the 2nd one now but im in bed sweet dreams miss u 
ham	im in town now so ill jus take mrt down later
spam	ree entry in 2 a weekly comp for a chance to win an ipod txt pod to 80182 to get entry std txt rate tcs apply 08452810073 for details 18
spam	spook up your mob with a halloween collection of a logo  pic message plus a free eerie tone txt card spook to 8007 zed 08701417012150p per logo/pic 
ham	i will reach ur home in  ltgt  minutes
ham	jane babes not goin 2 wrk feel ill after lst nite foned in already cover 4 me chuck:
ham	am on the uworld site am i buying the qbank only or am i buying it with the self assessment also
ham	ok sweet dreams
ham	so u wan 2 come for our dinner tonight a not
ham	oh yeah clearly its my fault
ham	an excellent thought by a misundrstud frnd: i knw u hate me bt the day wen ull knw the truth ull hate urself: gn:
ham	yeah thats what i was thinking
ham	k fyi im back in my parents place in south tampa so i might need to do the deal somewhere else
ham	dude im no longer a pisces im an aquarius now
ham	x course it 2yrs just so her messages on messenger lik you r sending me
ham	so when do you wanna gym
ham	youd like that wouldnt you jerk
ham	ok
spam	free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800 psp or £250 cash every wktxt great to 80878 http//wwwgr8prizescom 08715705022
spam	you have 1 new message call 02070836089
ham	how are you babes hope your doing ok i had a shit nights sleep i fell asleep at 5im knackered and im dreading work tonight what are thou upto tonight x
ham	i will be gentle baby soon you will be taking all  ltgt  inches deep inside your tight pussy
ham	all done all handed in dont know if mega shop in asda counts as celebration but thats what im doing
ham	i dont know exactly could you ask chechi
ham	pls give her prometazine syrup 5mls then  ltgt mins later feed
ham	my slave i want you to take 2 or 3 pictures of yourself today in bright light on your cell phone bright light
ham	you didnt complete your gist oh
spam	http//tms widelivecom/index wmlid820554ad0a1705572711firsttrue¡c c ringtone¡
ham	apo all other are mokka players only
ham	what i told before i tell stupid hear after i wont tell anything to you you dad called to my brother and spoken not with me
ham	machan you go to gym tomorrow  i wil come late goodnight
spam	private your 2003 account statement for shows 800 unredeemed sim points call 08718738001 identifier code: 49557 expires 26/11/04
ham	aiyah ok wat as long as got improve can already wat
ham	armand says get your ass over to epsilon
ham	hahahause your brain dear
